#Query	mismatches	evalue	percent_identity	database
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4712 gi|730321638|gb|KM496492.1| Phytophthora capsici clone PCLPVMH internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4700 gi|723006076|gb|KM369965.1| Phytophthora capsici strain UACH-GAQ111 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4699 gi|723006075|gb|KM369964.1| Phytophthora capsici strain UACH-GAQ143 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4698 gi|723006074|gb|KM369963.1| Phytophthora capsici strain UACH-GAQ23 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4693 gi|686581540|gb|KF803237.1| Phytophthora sp. PNS-2014 isolate 2Pc internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4692 gi|686581539|gb|KF803236.1| Phytophthora sp. PNS-2014 isolate 1Pc internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4686 gi|698175214|gb|KM288421.1| Phytophthora capsici strain UACH-GAQ15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4681 gi|698175194|gb|KM279676.1| Phytophthora capsici strain UACH-GAQ13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4678 gi|666411033|gb|KJ696538.1| Phytophthora capsici strain LJ0912190 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP1022_19_ITS6F	1	0.0	99.8	gnl|BL_ORD_ID|4663 gi|675277961|gb|KM087092.1| Phytophthora capsici strain PCSE4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
