#Query	mismatches	evalue	percent_identity	database
SCRP10_1_its6	0	0.0	97.0	gi|1093393321|gb|KU899175.1| Phytophthora uniformis isolate 250001 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	0	0.0	97.0	gi|1093393319|gb|KU899173.1| Phytophthora uniformis isolate ALN 58 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393320|gb|KU899174.1| Phytophthora uniformis isolate ALN 222 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393332|gb|KU899186.1| Phytophthora uniformis isolate PAU 558 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393333|gb|KU899187.1| Phytophthora uniformis isolate PAU 60 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393367|gb|KU899221.1| Phytophthora uniformis isolate 155c internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	0	0.0	97.0	gi|1064244304|gb|KX822022.1| Phytophthora alni subsp. uniformis isolate D1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244305|gb|KX822023.1| Phytophthora alni subsp. uniformis isolate D2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244306|gb|KX822024.1| Phytophthora alni subsp. uniformis isolate D4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244307|gb|KX822025.1| Phytophthora alni subsp. uniformis isolate D5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244308|gb|KX822026.1| Phytophthora alni subsp. uniformis isolate D6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	0	0.0	97.0	gi|1036639481|gb|KU681016.1| Phytophthora uniformis isolate P876 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	0	0.0	97.0	gi|295315500|gb|GU993881.1| Phytophthora alni isolate IMI392314 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its6	0	0.0	97.0	gi|165910351|gb|EU371545.1| Phytophthora alni subsp. uniformis isolate PANM51 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence >gi|165910352|gb|EU371546.1| Phytophthora alni subsp. uniformis isolate PANM53 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its6	0	0.0	97.0	gi|165910350|gb|EU371544.1| Phytophthora alni subsp. uniformis isolate CLM19 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its6	0	0.0	97.0	gi|55275803|gb|AY689134.1| Phytophthora alni subsp. uniformis strain P1234 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|55275804|gb|AY689135.1| Phytophthora alni subsp. uniformis strain P1375 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	2	0.0	97.7	gi|224923392|gb|FJ746678.1| Phytophthora cambivora strain ATCC MYA-4075 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	1	0.0	96.8	gi|658117617|gb|KJ666754.1| Phytophthora alni subsp. uniformis isolate 118-R-1101711.4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	1	0.0	96.8	gi|5070433|gb|AF139367.1| Phytophthora alni subsp. uniformis internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its6	2	0.0	96.6	gi|1093393315|gb|KU899169.1| Phytophthora x alni isolate ALN 268 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|778039748|gb|KM052588.1| Phytophthora cambivora isolate Bioforsk_250.243 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|778039747|gb|KM052587.1| Phytophthora cambivora isolate Bioforsk_250.241 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|778039746|gb|KM052586.1| Phytophthora cambivora isolate Bioforsk_250.240 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|778039745|gb|KM052585.1| Phytophthora cambivora isolate Bioforsk_250.239 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|778039744|gb|KM052584.1| Phytophthora cambivora isolate Bioforsk_250.154 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|317453082|emb|FN547054.1| Phytophthora cambivora 18S rRNA gene (partial), ITS1, 5.8S rRNA gene and ITS2, isolate 05-110-1
SCRP10_1_its6	3	0.0	97.5	gi|317453074|emb|FN547046.1| Phytophthora cambivora 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), isolate 07-510-3
SCRP10_1_its6	1	0.0	96.8	gi|284432852|gb|GU259293.1| Phytophthora alni subsp. uniformis culture-collection WPC:16206D1244 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.5	gi|154850054|gb|EU000145.1| Phytophthora cambivora isolate 92-411 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.3	gi|19572341|emb|AJ438991.1| Phytophthora cambivora 5.8S rRNA gene, ITS1 and ITS2
SCRP10_1_its6	2	0.0	96.6	gi|1064244309|gb|KX822027.1| Phytophthora alni subsp. uniformis isolate D7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691719|gb|KU053270.1| Phytophthora cambivora isolate WA3.5.S4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691718|gb|KU053269.1| Phytophthora cambivora isolate WA2.5.S3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691717|gb|KU053268.1| Phytophthora cambivora isolate WA2.5.S2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691712|gb|KU053263.1| Phytophthora cambivora isolate WA5.5.S1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691711|gb|KU053262.1| Phytophthora cambivora isolate WA5.5.S2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691710|gb|KU053261.1| Phytophthora cambivora isolate WA6.5.S2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691709|gb|KU053260.1| Phytophthora cambivora isolate WA6.5.S1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	97.0	gi|1021691705|gb|KU053256.1| Phytophthora cambivora isolate OR2.5.S6 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	2	0.0	96.6	gi|351001551|gb|GU111589.2| Phytophthora cambivora strain TARI 25141 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its6	3	0.0	97.0	gi|1194413091|gb|MF115252.1| Phytophthora cambivora voucher ABD:086 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	3	0.0	96.4	gi|1093393304|gb|KU899158.1| Phytophthora cambivora isolate CBS 111329 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	3	0.0	96.8	gi|1021691720|gb|KU053271.1| Phytophthora cambivora isolate WA3.5.S5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	96.4	gi|612400668|gb|KJ405930.1| Phytophthora sp. JP2 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its6	2	0.0	96.6	gi|284432516|gb|GU258957.1| Phytophthora alni culture-collection WPC:10290A547 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	96.4	gi|323301471|gb|HQ643179.1| Phytophthora cambivora voucher CBS111329 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its6	3	0.0	96.4	gi|1327826724|gb|MG783388.1| Phytophthora cambivora strain CPHST BL 34G internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its6	3	0.0	96.4	gi|1093393322|gb|KU899176.1| Phytophthora cambivora isolate DE 1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
