#Query	mismatches	evalue	percent_identity	database
SCRP10_1_its4	0	3.72661e-159	99.0	gi|1093393321|gb|KU899175.1| Phytophthora uniformis isolate 250001 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|1064244309|gb|KX822027.1| Phytophthora alni subsp. uniformis isolate D7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|1064244304|gb|KX822022.1| Phytophthora alni subsp. uniformis isolate D1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244305|gb|KX822023.1| Phytophthora alni subsp. uniformis isolate D2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244306|gb|KX822024.1| Phytophthora alni subsp. uniformis isolate D4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244307|gb|KX822025.1| Phytophthora alni subsp. uniformis isolate D5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244308|gb|KX822026.1| Phytophthora alni subsp. uniformis isolate D6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|1021691708|gb|KU053259.1| Phytophthora cambivora isolate WA7.5.S2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|959167664|gb|KT726385.1| Phytophthora alni subsp. uniformis isolate PR13-386 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|658117617|gb|KJ666754.1| Phytophthora alni subsp. uniformis isolate 118-R-1101711.4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|351001551|gb|GU111589.2| Phytophthora cambivora strain TARI 25141 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|295315500|gb|GU993881.1| Phytophthora alni isolate IMI392314 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|284432852|gb|GU259293.1| Phytophthora alni subsp. uniformis culture-collection WPC:16206D1244 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|284432626|gb|GU259067.1| Phytophthora cambivora culture-collection WPC:7140A263 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|284432587|gb|GU259028.1| Phytophthora alni culture-collection WPC:10276A596 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|227810938|gb|FJ801766.1| Phytophthora cambivora clone WPC1431A17 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence >gi|227811217|gb|FJ802046.1| Phytophthora cambivora clone WPC1431A582 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|227810483|gb|FJ801311.1| Phytophthora cambivora clone WPC10197A481 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its4	0	3.72661e-159	99.0	gi|165910351|gb|EU371545.1| Phytophthora alni subsp. uniformis isolate PANM51 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence >gi|165910352|gb|EU371546.1| Phytophthora alni subsp. uniformis isolate PANM53 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP10_1_its4	1	4.82067e-158	98.7	gi|1093393322|gb|KU899176.1| Phytophthora cambivora isolate DE 1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP10_1_its4	1	4.82067e-158	98.7	gi|1093393319|gb|KU899173.1| Phytophthora uniformis isolate ALN 58 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393320|gb|KU899174.1| Phytophthora uniformis isolate ALN 222 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393332|gb|KU899186.1| Phytophthora uniformis isolate PAU 558 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393333|gb|KU899187.1| Phytophthora uniformis isolate PAU 60 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393367|gb|KU899221.1| Phytophthora uniformis isolate 155c internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
