#Query	mismatches	evalue	percent_identity	database
SCRP390_1_its6	2	0.0	100.0	gi|643192941|gb|KJ755127.1| Phytophthora lateralis strain JKI-013-11-0-00-0-0 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310017|gb|HQ875390.1| Phytophthora lateralis isolate P2293 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310016|gb|HQ875389.1| Phytophthora lateralis isolate P2304 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310015|gb|HQ875388.1| Phytophthora lateralis isolate P2271 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310014|gb|HQ875387.1| Phytophthora lateralis isolate P2272 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310013|gb|HQ875386.1| Phytophthora lateralis isolate P2281 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310011|gb|HQ875384.1| Phytophthora lateralis isolate P2298 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310010|gb|HQ875383.1| Phytophthora lateralis isolate P2296 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|324310009|gb|HQ875382.1| Phytophthora lateralis isolate P2289 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	2	0.0	100.0	gi|9858104|gb|AF287256.1|AF287256 Phytophthora lateralis 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP390_1_its6	0	0.0	98.5	gi|959167647|gb|KT726395.1| Phytophthora lateralis isolate PF12-158 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	0	0.0	98.5	gi|621091101|gb|KJ128037.1| Phytophthora lateralis culture CBS:168.42 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP390_1_its6	0	0.0	98.5	gi|606311444|gb|KJ158420.1| Phytophthora lateralis isolate 01477 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP390_1_its6	0	0.0	98.5	gi|440807914|gb|JX121359.1| Phytophthora lateralis isolate P2060 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807915|gb|JX121360.1| Phytophthora lateralis isolate P2143 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807916|gb|JX121361.1| Phytophthora lateralis isolate P2317 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807917|gb|JX121362.1| Phytophthora lateralis isolate P2397 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807918|gb|JX121363.1| Phytophthora lateralis isolate P2399 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807919|gb|JX121364.1| Phytophthora lateralis isolate P2423 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807920|gb|JX121365.1| Phytophthora lateralis isolate P2537 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807921|gb|JX121366.1| Phytophthora lateralis isolate P2563 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807922|gb|JX121367.1| Phytophthora lateralis isolate P2061 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|440807923|gb|JX121368.1| Phytophthora lateralis isolate P2400 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
