#Query	mismatches	evalue	percent_identity	database
SCRP10_1_its6	0	1.26861e-104	45.3	gnl|BL_ORD_ID|19 7a_Phytophthora_alni_subsp._uniformis_AF139367
SCRP10_1_its6	2	2.74605e-101	44.9	gnl|BL_ORD_ID|127 7_Phytophthora_formosa_KU517153
SCRP10_1_its6	2	2.74605e-101	44.9	gnl|BL_ORD_ID|55 7a_Phytophthora_cambivora_KU899163_7_P._x_cambivora_KU899179
SCRP10_1_its6	3	1.27761e-99	44.6	gnl|BL_ORD_ID|164 7_Phytophthora_attenuata_KU517154
SCRP10_1_its6	3	1.27761e-99	44.6	gnl|BL_ORD_ID|39 7a_Phytophthora_fragariae_AF266762_7a_P._rubi_AF266761
SCRP10_1_its6	2	1.10602e-20	11.8	gnl|BL_ORD_ID|63 8c_Phytophthora_hibernalis_HQ643240
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|169 2c_Phytophthora_capensis_GU191231
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|146 2_Phytophthora_tropicalis_FJ801320
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|142 2_Phytophthora_capsici_KY819081_2_P._capsici_AF266787_2b_P._glovera_AF279124
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|112 2_Phytophthora_citrophthora_AF266785
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|73 2_Phytophthora_citricola_sensu_stricto_FJ237526
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|60 2_Phytophthora_mexicana_HQ261620
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|58 2a_Phytophthora_botryosa_AF266784
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|31 2a_Phytophthora_meadii_GU993903
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|22 2_Phytophthora_colocasiae_JN618819
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|18 2_Phytophthora_pachypleura_KC855330
SCRP10_1_its6	2	1.43073e-19	11.4	gnl|BL_ORD_ID|14 2_Phytophthora_mengei_EU748545
SCRP10_1_its6	3	1.85077e-18	11.6	gnl|BL_ORD_ID|144 8c_Phytophthora_foliorum_EF120469
SCRP10_1_its6	3	6.65654e-18	11.4	gnl|BL_ORD_ID|159 2a_Phytophthora_terminalis_JX978167
SCRP10_1_its6	3	6.65654e-18	11.4	gnl|BL_ORD_ID|103 2a_Phytophthora_occultans_JX978155
SCRP10_1_its6	3	6.65654e-18	11.4	gnl|BL_ORD_ID|78 2_Phytophthora_siskiyouensis_EF523386
SCRP10_1_its6	3	6.65654e-18	11.4	gnl|BL_ORD_ID|66 2_Phytophthora_amaranthi_GU111585
SCRP10_1_its6	3	2.39412e-17	11.2	gnl|BL_ORD_ID|106 2_Phytophthora_citrophthora_voucher_MF115290
SCRP10_1_its6	0	4.00621e-15	8.7	gnl|BL_ORD_ID|77 8a_Phytophthora_trifolii_FJ746644
