#Query	mismatches	evalue	percent_identity	database
SCRP417_1_its6	0	1.72781e-100	25.4	gnl|BL_ORD_ID|28 6_Phytophthora_megasperma_GU258796
SCRP417_1_its6	1	8.03873e-99	25.4	gnl|BL_ORD_ID|0 6_Phytophthora_crassamura_KP863493
SCRP417_1_its6	2	3.74006e-97	25.3	gnl|BL_ORD_ID|126 6_Phytophthora_megasperma_AF541899
SCRP417_1_its6	2	3.74006e-97	25.3	gnl|BL_ORD_ID|23 6_Phytophthora_megasperma_AF541895
SCRP417_1_its6	3	4.83807e-96	25.3	gnl|BL_ORD_ID|43 6_Phytophthora_mississippiae_KF112852
SCRP417_1_its6	3	1.74008e-95	25.1	gnl|BL_ORD_ID|136 6b_Phytophthora_X_stagnum_KJ705084
SCRP417_1_its6	3	1.74008e-95	25.1	gnl|BL_ORD_ID|121 6_Phytophthora_borealis_JQ626599
SCRP417_1_its6	2	6.30287e-90	23.4	gnl|BL_ORD_ID|132 6_Phytophthora_taxon_pocumtuck_KP749380
SCRP417_1_its6	1	4.21803e-12	4.8	gnl|BL_ORD_ID|137 7b_Phytophthora_melonis_AF266767
SCRP417_1_its6	1	4.21803e-12	4.8	gnl|BL_ORD_ID|53 7b_Phytophthora_cajani_AF266765
