Species	Date_described	Marker	Version	ITS_GenBank_Accession	Genbank_species_names	reference	date_genbank_entry	Tax_ID	Marker_complete	genbank_entry_len	start	stop	Comments_on_ITS_region	ITS_Clade	sub-clade	UK	Geographical_distribution	Recorded_Host	Preferred_environment	DNA_only	Comment_General	Temp._Optima	Temp._Maxima	Cox	Evidence_type	Assertion_method	Source	Xref_accession	Confidence	Notes	Change_note
Phytophthora acerina	2014	ITS	1	JX951285	Phytophthora_acerina_isolate	" Ginetti,B., Moricca,S., Squires,J.N., Cooke,D.E.L., Ragazzi,A. and Jung,T. title: Phytophthora acerina sp. nov., a new species causing bleeding cankers and dieback of Acer pseudoplatanus trees in planted forests in northern Italy journal: Plant Pathol. 63, 858-876 (2013) medline id:  pubmed id:  comment:  location: [0:761] "	25-Jan-16	1241941	Yes	761	1	150	same as AB217676	2		Not in UK	Italy	Acer	park			25	32								
Phytophthora agathidicida	2015	ITS	1	KP295308	Phytophthora_agathidicida	" Weir,B.S., Paderes,E.P., Anand,N., Uchida,J.Y., Pennycook,S.R., Bellgard,S.E. and Beever,R.E. title: A taxonomic revision of Phytophthora Clade 5 including two new species, Phytophthora agathidicida and P. cocois journal: Phytotaxa 205 (1), 21-38 (2015) medline id:  pubmed id:  comment:  location: [0:808] "	10-May-15	1642459	Yes	808	6	187	Same as 5Phytophthora_sp_novaeguinea_P1256. Therefore nova not added	5		Not in UK	New Zealand		Forests		cause of Kauri die-back New Zealand	21.5	25								
Phytophthora alni subsp. alni	2004	ITS	1	AF139366	Phytophthora_alni_subsp.	" Brasier,C.M., Cooke,D.E. and Duncan,J.M. title: Origin of a new Phytophthora pathogen through interspecific hybridization journal: Proc. Natl. Acad. Sci. U.S.A. 96 (10), 5878-5883 (1999) medline id:  pubmed id: 10318978 comment: Erratum:[Proc Nat Acad Sci U S A 1999 Nov 9;96(23):13589] location: [0:831] "	09-May-05	299392		831	1	199		7	a	Scotland	Widespread	Alder	Riparian		"Symptoms widespread, not aware of comprehensive survey"	18-24	29								
Phytophthora alni subsp. multiformis	2004	ITS	1	AF139368	Phytophthora_alni_subsp.	" Brasier,C.M., Cooke,D.E. and Duncan,J.M. title: Origin of a new Phytophthora pathogen through interspecific hybridization journal: Proc. Natl. Acad. Sci. U.S.A. 96 (10), 5878-5883 (1999) medline id:  pubmed id: 10318978 comment: Erratum:[Proc Nat Acad Sci U S A 1999 Nov 9;96(23):13589] location: [0:831] "	09-May-05	299394		831	1	199		7	a	Not in UK	Widespread	Alder	Riparian												
Phytophthora alni subsp. uniformis	2004	ITS	1	AF139367	Phytophthora_alni_subsp.	" Brasier,C.M., Cooke,D.E. and Duncan,J.M. title: Origin of a new Phytophthora pathogen through interspecific hybridization journal: Proc. Natl. Acad. Sci. U.S.A. 96 (10), 5878-5883 (1999) medline id:  pubmed id: 10318978 comment: Erratum:[Proc Nat Acad Sci U S A 1999 Nov 9;96(23):13589] location: [0:831] "	09-May-05	299393		831	1	199		7	a	Not in UK	Widespread	Alder	Riparian												
Phytophthora alticola	2007	ITS	1	HQ013214	Phytophthora_alticola	" Rea,A.J., Burgess,T.I., Hardy,G.E.St.J., Stukely,M.J.C. and Jung,T. title: Two novel and potentially endemic species of Phytophthora associated with episodic dieback of Kwongan vegetation in the south-west of Western Australia journal: Plant Pathol. 60 (6), 1055-1068 (2011) medline id:  pubmed id:  comment:  location: [0:788] "	30-Jun-15	707995	Yes	788	1	180	same as 4_Phytophthora_boodjera_GJ372244	4		Not in UK															
Phytophthora amaranthi	2016	ITS	1	GU111585	Phytophthora_sp._TARI	" Ann,P.J., Tsai,J.N., Huang,J.H., Wang,Y.T. and Chiu,Y.H. title: Direct Submission journal: Submitted (21-SEP-2009) Plant Pathology Division, Agricultural Research Institute, 189 Jhongjheng Rd., Wufong Township, Taichung 41301, Taiwan medline id:  pubmed id:  comment:  "	14-Sep-17	684894	Yes	869	56	196	Ann et al J of Phytopath	2		Not in UK	Taiwan		Farmed land		Amaranth vegetable production in Taiwan. Seemed host specific										
Phytophthora amnicola	2012	ITS	1	JQ029956	Phytophthora_amnicola	" Crous,P.W., Summerell,B.A., Shivas,R.G., Burgess,T.I., Decock,C.A., Dreyer,L.L., Granke,L.L., Guest,D.I., Hardy,G.E.St.J., Hausbeck,M.K., Huberli,D., Jung,T., Koukol,O., Lennox,C.L., Liew,E.C.Y., Lombard,L., McTaggart,A.R., Pryke,J.S., Roets,F., Saude,C., Shuttleworth,L.A., Stukely,M.J.C., Vanky,K., Webster,B.J., Windstam,S.T. and Groenewald,J.Z. title: Fungal Planet description sheets: 107-127 journal: Persoonia 28, 138-182 (2012) medline id:  pubmed id: 23105159 comment:  location: [0:820] "	02-Oct-12	1196597	Yes	820	1	196		6		Not in UK															
Phytophthora andina	2010	ITS	1	AY770741	Phytophthora_andina	" Flier,W.G., Adler,N., Kroon,L.P.N.M. and Forbes,G.A. title: Phytophthora andina, a new heterothallic pathogen of Solanaceous hosts in the Andean highlands of Ecuador journal: Unpublished medline id:  pubmed id:  comment:  location: [0:813] "	13-Nov-04	283009	Yes	813	1	187		1	c	Not in UK															
Phytophthora aquimorbida	2011	ITS	1	FJ666127	Phytophthora_sp._CCH-2009b	" Hong,C. title: Two new homothallic nonpapillate species of Phytophthora from irrigation reservoirs and natural waterways in Virginia, USA journal: Unpublished medline id:  pubmed id:  comment:  location: [0:786] "	09-Mar-09	611798	Yes	786	1	160	Hong et al 	9		Not in UK	USA		Water		Irrigation water in USA										
