#Query	mismatches	evalue	percent_identity	database
SCRP9_its6	0	0.0	100.0	gi|1093393321|gb|KU899175.1| Phytophthora uniformis isolate 250001 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	0	0.0	100.0	gi|643192914|gb|KJ755100.1| Phytophthora alni subsp. uniformis strain BBA PAU 60 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP9_its6	0	0.0	100.0	gi|284432852|gb|GU259293.1| Phytophthora alni subsp. uniformis culture-collection WPC:16206D1244 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP9_its6	0	0.0	100.0	gi|284432516|gb|GU258957.1| Phytophthora alni culture-collection WPC:10290A547 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
SCRP9_its6	0	0.0	100.0	gi|165910351|gb|EU371545.1| Phytophthora alni subsp. uniformis isolate PANM51 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence >gi|165910352|gb|EU371546.1| Phytophthora alni subsp. uniformis isolate PANM53 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP9_its6	0	0.0	100.0	gi|165910350|gb|EU371544.1| Phytophthora alni subsp. uniformis isolate CLM19 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP9_its6	1	0.0	99.8	gi|1093393319|gb|KU899173.1| Phytophthora uniformis isolate ALN 58 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393320|gb|KU899174.1| Phytophthora uniformis isolate ALN 222 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393332|gb|KU899186.1| Phytophthora uniformis isolate PAU 558 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393333|gb|KU899187.1| Phytophthora uniformis isolate PAU 60 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1093393367|gb|KU899221.1| Phytophthora uniformis isolate 155c internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	1	0.0	99.8	gi|1036639481|gb|KU681016.1| Phytophthora uniformis isolate P876 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	1	0.0	99.8	gi|658117617|gb|KJ666754.1| Phytophthora alni subsp. uniformis isolate 118-R-1101711.4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	1	0.0	99.8	gi|1064244304|gb|KX822022.1| Phytophthora alni subsp. uniformis isolate D1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244305|gb|KX822023.1| Phytophthora alni subsp. uniformis isolate D2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244306|gb|KX822024.1| Phytophthora alni subsp. uniformis isolate D4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244307|gb|KX822025.1| Phytophthora alni subsp. uniformis isolate D5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|1064244308|gb|KX822026.1| Phytophthora alni subsp. uniformis isolate D6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	0	0.0	99.3	gi|295315500|gb|GU993881.1| Phytophthora alni isolate IMI392314 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP9_its6	1	0.0	99.8	gi|98961366|gb|DQ486658.1| Phytophthora sp. MN14d internal transcribed spacer 1, partial sequence; and 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence
SCRP9_its6	2	0.0	99.5	gi|5070433|gb|AF139367.1| Phytophthora alni subsp. uniformis internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
SCRP9_its6	1	0.0	99.8	gi|55275803|gb|AY689134.1| Phytophthora alni subsp. uniformis strain P1234 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence >gi|55275804|gb|AY689135.1| Phytophthora alni subsp. uniformis strain P1375 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	2	0.0	99.5	gi|1194413093|gb|MF115254.1| Phytophthora cambivora voucher ABD:087 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	2	0.0	99.5	gi|1194413091|gb|MF115252.1| Phytophthora cambivora voucher ABD:086 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	2	0.0	99.5	gi|1194413089|gb|MF115250.1| Phytophthora cambivora voucher ABD:085 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
SCRP9_its6	2	0.0	99.5	gi|1194413088|gb|MF115249.1| Phytophthora cambivora voucher ABD:084 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
