#Query	mismatches	evalue	percent_identity	database
SCRP417_2_its6	0	1.66944e-100	26.3	gnl|BL_ORD_ID|28 6_Phytophthora_megasperma_GU258796
SCRP417_2_its6	1	7.76715e-99	26.3	gnl|BL_ORD_ID|0 6_Phytophthora_crassamura_KP863493
SCRP417_2_its6	2	3.6137e-97	26.1	gnl|BL_ORD_ID|126 6_Phytophthora_megasperma_AF541899
SCRP417_2_its6	2	3.6137e-97	26.1	gnl|BL_ORD_ID|23 6_Phytophthora_megasperma_AF541895
SCRP417_2_its6	3	4.67462e-96	26.1	gnl|BL_ORD_ID|43 6_Phytophthora_mississippiae_KF112852
SCRP417_2_its6	3	1.68129e-95	26.0	gnl|BL_ORD_ID|136 6b_Phytophthora_X_stagnum_KJ705084
SCRP417_2_its6	3	1.68129e-95	26.0	gnl|BL_ORD_ID|121 6_Phytophthora_borealis_JQ626599
SCRP417_2_its6	2	6.08994e-90	24.2	gnl|BL_ORD_ID|132 6_Phytophthora_taxon_pocumtuck_KP749380
SCRP417_2_its6	1	4.07553e-12	4.9	gnl|BL_ORD_ID|137 7b_Phytophthora_melonis_AF266767
SCRP417_2_its6	1	4.07553e-12	4.9	gnl|BL_ORD_ID|53 7b_Phytophthora_cajani_AF266765
